Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
22,20250425193610,20241129200037,10.300277777777776,10.550277777777776,16.438611111111108,l,No,9.92-10.75,5.888333333333334
22,20250426014428,DelayCal,16.438611111111108,16.438611111111108,16.688611111111108,l,No,,0.25
22,20250426014428,20250206210824,16.438611111111108,16.688611111111108,19.80222222222222,l,No,12.00-18.00,3.113611111111111
22,20250426050617,DelayCal,19.80222222222222,19.80222222222222,20.05222222222222,l,No,,0.25
22,20250426050617,20241208154427,19.80222222222222,20.05222222222222,0.16083333333332916,l,No,19.75-22.50,4.1086111111111085
23,20250426092748,DelayCal,0.16083333333332916,0.16083333333332916,0.41083333333332916,l,No,,0.25
23,20250426092748,20241208103404,0.16083333333332916,0.41083333333332916,3.3691666666666626,l,No,22.65-0.80,2.9583333333333335
23,20250426124018,DelayCal,3.3691666666666626,3.3691666666666626,3.6191666666666626,l,No,,0.25
23,20250426124018,20241202081517,3.3691666666666626,3.6191666666666626,8.834722222222219,l,No,1.50-4.00,5.2155555555555555
23,20250426180814,DelayCal,8.834722222222219,8.834722222222219,9.084722222222219,l,Yes,,0.25
23,20250426180814,20241216075449,8.834722222222219,9.084722222222219,17.621111111111105,l,Yes,8.17-10.33,8.536388888888888
23,20250427025525,DelayCal,17.621111111111105,17.621111111111105,17.871111111111105,l,No,,0.25
23,20250427025525,20250123165119,17.621111111111105,17.871111111111105,19.772777777777772,l,No,14.00-0.33,1.9016666666666666
23,20250427050431,DelayCal,19.772777777777772,19.772777777777772,20.022777777777772,l,No,,0.25
23,20250427050431,20241208154518,19.772777777777772,20.022777777777772,0.16083333333332916,l,No,19.75-22.50,4.138055555555558
24,20250427092748,DelayCal,0.16083333333332916,0.16083333333332916,0.41083333333332916,l,No,,0.25
24,20250427092748,20241120211854,0.16083333333332916,0.41083333333332916,3.3655555555555514,l,No,22.65-0.80,2.9547222222222222
24,20250427124005,DelayCal,3.3655555555555514,3.3655555555555514,3.6155555555555514,u,No,,0.25
24,20250427124005,20241202085157,3.3655555555555514,3.6155555555555514,8.829722222222218,u,No,1.50-4.00,5.214166666666666
24,20250427180756,DelayCal,8.829722222222218,8.829722222222218,9.079722222222218,l,No,,0.25
24,20250427180756,20241124195321,8.829722222222218,9.079722222222218,16.38833333333333,l,No,8.17-9.08,7.308611111111111
24,20250428014127,DelayCal,16.38833333333333,16.38833333333333,16.63833333333333,l,No,,0.25
24,20250428014127,20241206085602,16.38833333333333,16.63833333333333,19.067777777777774,l,No,14.00-17.00,2.4294444444444445
24,20250428042213,DelayCal,19.067777777777774,19.067777777777774,19.317777777777774,l,No,,0.25
24,20250428042213,20250217172800,19.067777777777774,19.317777777777774,23.929444444444442,l,No,18.00-23.00,4.611666666666666
25,20250429091355,DelayCal,23.929444444444442,23.929444444444442,0.1794444444444423,l,No,,0.25
25,20250429091355,20241122153545,23.929444444444442,0.1794444444444423,3.0375000000000014,l,No,0.11-20.00,2.8580555555555573
25,20250428122024,DelayCal,3.0375000000000014,3.0375000000000014,3.2875000000000014,s,No,,0.25
25,20250428122024,20241202085452,3.0375000000000014,3.2875000000000014,8.501666666666669,s,No,1.50-4.00,5.214166666666666
25,20250428174815,DelayCal,8.501666666666669,8.501666666666669,8.751666666666669,l,No,,0.25
25,20250428174815,20241124194341,8.501666666666669,8.751666666666669,16.108333333333334,l,No,8.00-9.00,7.3566666666666665
25,20250429012439,DelayCal,16.108333333333334,16.108333333333334,16.358333333333334,l,Yes,,0.25
25,20250429012439,20250110193901,16.108333333333334,16.358333333333334,19.979444444444447,l,Yes,14.67-23.33,3.621111111111111
25,20250429051655,DelayCal,19.979444444444447,19.979444444444447,20.229444444444447,l,No,,0.25
25,20250429051655,20241214120051,19.979444444444447,20.229444444444447,23.929444444444442,l,No,19.75-22.50,3.699999999999996
26,20250430091355,DelayCal,23.929444444444442,23.929444444444442,0.1794444444444423,u,No,,0.25
26,20250430091355,20241226134723,23.929444444444442,0.1794444444444423,2.8291666666666657,u,No,23.00-1.17,2.649722222222222
26,20250429120754,DelayCal,2.8291666666666657,2.8291666666666657,3.0791666666666657,l,No,,0.25
26,20250429120754,20240711061336,2.8291666666666657,3.0791666666666657,8.04138888888889,l,No,2.00-3.17,4.9622222222222225
26,20250429172038,DelayCal,8.04138888888889,8.04138888888889,8.29138888888889,l,No,,0.25
26,20250429172038,20241124200225,8.04138888888889,8.29138888888889,15.596666666666668,l,No,8.00-9.17,7.3052777777777775
26,20250430005357,DelayCal,15.596666666666668,15.596666666666668,15.846666666666668,l,No,,0.25
26,20250430005357,20250131154734,15.596666666666668,15.846666666666668,19.91027777777778,l,No,12.00-16.00,4.063611111111111
26,20250430051246,DelayCal,19.91027777777778,19.91027777777778,20.16027777777778,l,No,,0.25
26,20250430051246,20241216125113,19.91027777777778,20.16027777777778,23.929444444444442,l,No,19.75-22.50,3.7691666666666634
27,20250501091355,DelayCal,23.929444444444442,23.929444444444442,0.1794444444444423,l,No,,0.25
27,20250501091355,20241208221050,23.929444444444442,0.1794444444444423,2.8186111111111103,l,No,23.47-2.00,2.6391666666666667
27,20250430120716,DelayCal,2.8186111111111103,2.8186111111111103,3.0686111111111103,l,No,,0.25
27,20250430120716,20241203211535,2.8186111111111103,3.0686111111111103,7.011944444444444,l,No,2.50-3.50,3.9433333333333334
27,20250430161852,DelayCal,7.011944444444444,7.011944444444444,7.261944444444444,l,No,,0.25
27,20250430161852,20241126061105,7.011944444444444,7.261944444444444,13.311388888888889,l,No,6.08-9.42,6.049444444444444
27,20250430223650,DelayCal,13.311388888888889,13.311388888888889,13.561388888888889,l,No,,0.25
27,20250430223650,20250116184555,13.311388888888889,13.561388888888889,19.0375,l,No,10.75-15.17,5.476111111111111
27,20250501042024,DelayCal,19.0375,19.0375,19.2875,l,No,,0.25
27,20250501042024,20241124212857,19.0375,19.2875,21.87,l,No,0.11-22.00,2.5824999999999996
27,20250501071021,DelayCal,21.87,21.87,22.12,l,No,,0.25
27,20250501071021,20241203212413,21.87,22.12,23.929444444444442,l,No,21.83-22.83,1.809444444444443
28,20250502091355,DelayCal,23.929444444444442,23.929444444444442,0.1794444444444423,u,No,,0.25
28,20250502091355,20241226122821,23.929444444444442,0.1794444444444423,2.803333333333331,u,No,23.00-1.17,2.6238888888888887
