Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
25,20241208154518,0.0,0.8613888888888681,l,No,0.00-22.50
25,20241208154518,0.8613888888888681,1.7227777777777362,l,No,0.00-22.50
25,20241208154518,1.7227777777777362,2.5841666666666043,l,No,0.00-22.50
25,20241203211535,2.5841666666666043,6.527499999999938,l,No,2.50-3.50
25,20241203210018,6.527499999999938,14.064444444444382,l,No,5.42-7.00
25,20250125155117,14.064444444444382,15.109999999999937,l,No,11.58-15.00
25,20250303170916,15.109999999999937,16.168055555555494,s,No,11.67-15.25
25,20241206085440,16.168055555555494,18.570277777777715,l,No,13.00-16.50
25,20241208154518,18.570277777777715,19.431666666666583,l,No,0.00-22.50
25,20241208154518,19.431666666666583,20.29305555555545,l,No,0.00-22.50
25,20241208154518,20.29305555555545,21.15444444444432,l,No,0.00-22.50
25,20241208154518,21.15444444444432,22.015833333333187,l,No,0.00-22.50
25,20241208154518,22.015833333333187,22.877222222222056,l,No,0.00-22.50
25,20250131233820,22.877222222222056,23.926944444444278,s,No,20.50-3.75
25,20250131233820,23.926944444444278,23.999999999999996,s,No,20.50-3.75
26,20241122131632,23.999999999999996,1.0472222222222172,l,No,20.50-3.75
26,20241122131632,1.0472222222222172,2.0944444444444397,l,No,20.50-3.75
26,20241122131632,2.0944444444444397,3.141666666666662,l,No,20.50-3.75
26,20241120194442,3.141666666666662,9.615555555555552,l,No,2.75-3.83
26,20250126210757,9.615555555555552,15.651944444444442,l,No,6.00-9.75
26,20241206085208,15.651944444444442,18.075833333333332,l,No,13.00-15.75
26,20241120153849,18.175833333333333,0.0,l,No,18.13-18.37
27,20241120153849,0.0,1.5636111111111095,l,No,0.00-18.37
27,20241120153849,1.5636111111111095,3.127222222222219,l,No,0.00-18.37
27,20241120153849,3.127222222222219,4.6908333333333285,l,No,0.00-18.37
27,20241204055710,4.6908333333333285,5.662222222222217,l,No,20.67-7.00
27,20250204211226,5.662222222222217,9.833888888888884,l,No,5.00-6.25
27,20250206222434,9.833888888888884,12.803611111111106,l,No,7.58-10.00
27,20241207224249,12.803611111111106,15.335555555555551,l,No,11.18-14.00
27,20241206085237,15.335555555555551,17.747777777777774,l,No,13.00-16.50
27,20241120153849,18.047777777777778,19.61138888888889,l,No,0.00-18.37
27,20241214120051,19.811388888888892,1.4210854715202004e-14,l,No,19.75-22.50
28,20241214120051,1.4210854715202004e-14,0.7780555555555573,l,No,0.00-22.50
28,20241214120051,0.7780555555555573,1.5561111111111003,l,No,0.00-22.50
28,20241214120051,1.5561111111111003,2.3341666666666434,l,No,0.00-22.50
28,20241214120051,2.3341666666666434,3.1122222222221865,l,No,0.00-22.50
28,20241214120051,3.1122222222221865,3.8902777777777295,l,No,0.00-22.50
28,20241214120051,3.8902777777777295,4.668333333333273,l,No,0.00-22.50
28,20241214120051,4.668333333333273,5.446388888888816,l,No,0.00-22.50
28,20250204210516,5.446388888888816,9.62583333333326,l,No,5.00-6.25
28,20250110121622,9.62583333333326,15.662222222222148,l,No,6.00-9.75
28,20250103145047,15.662222222222148,21.826666666666593,u,No,13.67-17.50
28,20241214120051,21.826666666666593,22.604722222222136,l,No,0.00-22.50
28,20250131233602,22.604722222222136,23.650277777777692,u,No,20.50-3.75
28,20250131233602,23.650277777777692,1.4210854715202004e-14,u,No,20.50-3.75
29,20240713080337,1.4210854715202004e-14,2.4297222222222365,u,No,20.62-1.00
29,20250217162845,2.4297222222222365,7.104722222222236,l,No,20.75-2.75
29,20241208155227,7.104722222222236,12.130555555555569,l,No,6.00-7.42
29,20241208155652,12.130555555555569,17.178611111111124,l,No,9.50-12.25
29,20241127145201,17.178611111111124,23.335833333333348,u,No,13.88-17.50
29,20250217121114,23.335833333333348,1.4210854715202004e-14,l,No,20.50-23.75
30,20250217121114,1.4210854715202004e-14,3.987777777777791,l,No,0.00-23.75
30,20250217121114,3.987777777777791,7.975555555555568,l,No,0.00-23.75
30,20250110142832,7.975555555555568,14.011944444444456,l,No,6.00-9.75
30,20250125155122,14.011944444444456,15.057500000000012,l,No,11.58-15.00
30,20250101225621,15.057500000000012,17.97416666666668,l,Yes,12.50-16.50
30,20250217121114,17.97416666666668,21.961944444444455,l,No,0.00-23.75
30,20241216125113,21.961944444444455,1.4210854715202004e-14,l,No,19.75-22.50
31,20241216125113,1.4210854715202004e-14,2.9300000000000104,l,No,0.00-22.50
31,20241226153543,2.9300000000000104,5.923055555555566,l,No,2.75-5.33
31,20250204175725,5.923055555555566,10.093333333333344,l,No,5.00-6.25
31,20241216075449,10.093333333333344,18.629722222222235,l,Yes,8.17-10.33
